blend,fold,patchtst,gbm_lags,intercept,gbm_last,momentum_ols,momentum_raw,ridge_lags,ridge_last
ols_nn:momentum_raw,3,0.264250444080785,,-0.0004981577514568589,,,0.0,,
ols:ridge_lags,3,0.28369765429171223,,-0.0004972285826229314,,,,0.05033110322836375,
ols_nn:ridge_lags,3,0.28369765429171223,,-0.0004972285826229314,,,,0.05033110322836375,
ols:ridge_last,3,0.2192189392326855,,-0.0005145268797892566,,,,,0.8801246772545458
ols_nn:ridge_last,3,0.2192189392326855,,-0.0005145268797892566,,,,,0.8801246772545458
ols_all,3,0.24050270387842132,-0.14129136213049961,0.00013325816145781655,0.4434858896613488,-1.0757619502555038,,-4.422876211351222,1.8644117534377727
ols_all_nn,3,0.24050270387842132,0.0,-0.0006387675353354292,0.4434858896613488,0.0,,0.0,1.8644117534377727
ols_all_no_patchtst,3,,-0.04793981360602091,-2.708787607057228e-05,0.4260218993652975,-0.9661738818898656,,-4.115168009808988,1.8412882650923865
ols:gbm_lags,4,-0.16274215331038783,0.7596439565457365,-0.00018677771833608414,,,,,
ols_nn:gbm_lags,4,0.0,0.7596439565457365,-0.0002436212234250863,,,,,
ols:gbm_last,4,-0.06847644774235905,,-0.00024806633991825144,0.6882725247146992,,,,
ols_nn:gbm_last,4,0.0,,-0.00027198418312327616,0.6882725247146992,,,,
ols:momentum_ols,4,0.1678983093761143,,-0.0001672572531701555,,0.10656376874873823,,,
ols_nn:momentum_ols,4,0.1678983093761143,,-0.0001672572531701555,,0.10656376874873823,,,
ols:momentum_raw,4,0.16789830836937247,,-0.00014977621051946938,,,-0.0022859076179040884,,
ols_nn:momentum_raw,4,0.16789830836937247,,-0.0001496230382354668,,,0.0,,
ols:ridge_lags,4,0.10278941941608098,,-0.00015912862705724784,,,,1.064451699446239,
ols_nn:ridge_lags,4,0.10278941941608098,,-0.00015912862705724784,,,,1.064451699446239,
ols:ridge_last,4,0.12656505079845548,,-0.00012295449428745275,,,,,0.4332327769640375
ols_nn:ridge_last,4,0.12656505079845548,,-0.00012295449428745275,,,,,0.4332327769640375
ols_all,4,-0.13418810032613704,0.6429190973668687,4.527818635813308e-05,0.5228017515845598,-2.640068998397539,,1.5115905623346189,-1.240486619282183
ols_all_nn,4,0.0,0.6429190973668687,-0.00040344889227691245,0.5228017515845598,0.0,,1.5115905623346189,0.0
ols_all_no_patchtst,4,,0.5901204686167925,1.8246859239567925e-05,0.5339276217149003,-2.6890200624255796,,1.385210779377624,-1.2324753486444393
ols:gbm_lags,5,1.0046601413152636,0.2655100133396768,0.0003363660863605067,,,,,
ols_nn:gbm_lags,5,1.0046601413152636,0.2655100133396768,0.0003363660863605067,,,,,
ols:gbm_last,5,0.9869269656422192,,0.0003363714969911724,0.3743251531704649,,,,
ols_nn:gbm_last,5,0.9869269656422192,,0.0003363714969911724,0.3743251531704649,,,,
ols:momentum_ols,5,1.1085411703377377,,0.0003082229247275692,,0.20268707892176446,,,
ols_nn:momentum_ols,5,1.1085411703377377,,0.0003082229247275692,,0.20268707892176446,,,
ols:momentum_raw,5,1.108541167000531,,0.00033850788432344264,,,-0.0042046451657471425,,
ols_nn:momentum_raw,5,1.108541167000531,,0.0003344670851338202,,,0.0,,
