fold,seed,feature_set,loss,split,best_epoch,n_params,minutes,n,mae,rmse,huber,pred_std,actual_std,prediction_bias,pearson,pearson_p,spearman,spearman_p,directional_accuracy,n_above_cost,directional_accuracy_above_cost,calibration_slope,calibration_intercept,baseline_zero_mae,baseline_zero_rmse,rmse_vs_zero_ratio,r2_vs_zero,decile_spread,decile_spearman
2,0,F2,huber,val,4,740167,34.39,21800,0.011814513109176347,0.01826249541756764,0.00011243051884003777,0.0016839025068264544,0.018265249418207827,-0.0007318785947123665,0.05643890384719437,7.474831703866543e-17,0.08203200499194299,7.180105882453025e-34,0.5306880733944954,11168,0.5471883954154728,0.6121914133865574,0.0007484327174250383,0.011828840307204425,0.018281665326812566,0.9989514134023223,0.002096073661502551,0.0032930735033005476,0.9030303030303028
2,0,F2,huber,test,4,740167,34.39,21800,0.010131017726963957,0.015818610392305085,8.238356720381961e-05,0.0017929359643058488,0.015714777956626045,0.000567720543711219,0.0046625015671326485,0.49121705724049747,0.024439959167703605,0.0003075587805827646,0.5051834862385322,11829,0.5110322089779356,0.040866031084538866,-0.0005846735510258952,0.010029459491032943,0.015725677554638287,1.0059096237566811,-0.011854171166308047,0.0006290800520218909,-0.22424242424242422
2,1,F2,huber,val,5,740167,38.68,21800,0.011889483934843289,0.018320139327848296,0.00011312961734980651,0.0024587949849697844,0.018265249418207827,-0.0007202549612552378,0.05072612120432642,6.679706270297621e-14,0.07637308558655585,1.4340341903027687e-29,0.526697247706422,14318,0.5363877636541416,0.3768208661067563,0.0007540997930785249,0.011828840307204425,0.018281665326812566,1.0021045129285515,-0.004213454831769825,0.002133645539288409,0.9393939393939393
2,1,F2,huber,test,5,740167,38.68,21800,0.01013115026399788,0.01583247627706521,8.22330745680999e-05,0.0024947209462987275,0.015714777956626045,0.0004966150025016142,0.035164794741636245,2.0656771376558072e-07,0.06504725974681028,6.995789845094619e-22,0.5201376146788991,14468,0.528683992258778,0.2215105228803308,-0.000565729974803232,0.010029459491032943,0.015725677554638287,1.006791359040388,-0.01362884063839176,0.0024808504967950284,0.4424242424242424
2,2,F2,huber,val,6,740167,42.98,21800,0.01193262406153218,0.018384964938265802,0.00011382346640189377,0.0028575135059688253,0.018265249418207827,-0.00035940370273788633,0.03742781835838703,3.243250755357842e-08,0.06615153257715163,1.4091008452287527e-22,0.5245412844036698,15314,0.5313438683557529,0.23923891735501554,0.0006752421983540269,0.011828840307204425,0.018281665326812566,1.0056504486657314,-0.011332824901586935,0.0017386337858624756,0.8424242424242423
2,2,F2,huber,test,6,740167,42.98,21800,0.01015352962902448,0.01583445871435756,8.248523670671976e-05,0.002866724287982593,0.015714777956626045,0.0008303712939764701,0.056956663807183575,3.898886740107711e-17,0.079817002930654,3.766529039175954e-32,0.519862385321101,15055,0.5309199601461309,0.3122244188714683,-0.0006618831804353812,0.010029459491032943,0.015725677554638287,1.0069174227527757,-0.013882696243092463,0.0035510569578036666,0.8181818181818182
2,3,F2,huber,val,3,740167,30.08,21800,0.011908994167756436,0.0183204613914717,0.00011348175225226042,0.0019906829296085,0.018265249418207827,-0.0007787028912357652,0.03505507399872455,2.2534462427763334e-07,0.04302046343922746,2.0914260156789517e-10,0.511834862385321,12710,0.5193548387096775,0.32164322124687095,0.000775895869059824,0.011828840307204425,0.018281665326812566,1.0021221296837894,-0.004248762801973838,0.002264563401695341,0.7696969696969697
2,3,F2,huber,test,3,740167,30.08,21800,0.010145951123307094,0.01582441852555467,8.24463988616843e-05,0.0020549220256224927,0.015714777956626045,0.000707425476661679,0.019589289684575576,0.003822675049298403,0.03951453084273629,5.340631643564737e-09,0.5106422018348624,12727,0.515675335900055,0.14980682180769195,-0.0006036767388341037,0.010029459491032943,0.015725677554638287,1.006278964488068,-0.012597354371178593,0.0012029868667013943,0.41818181818181815
2,4,F2,huber,val,4,740167,34.38,21800,0.01189592161905439,0.018297145898659675,0.00011294355352552272,0.002366473595564094,0.018265249418207827,-0.001258272438398633,0.06960488382978965,7.905121474811462e-25,0.0929484297526176,4.9088621196273024e-43,0.5226146788990825,14300,0.5330769230769231,0.5372342063142429,0.001034429143822442,0.011828840307204425,0.018281665326812566,1.0008467812734985,-0.0016942795855221515,0.004540048306807876,0.9636363636363635
2,4,F2,huber,test,4,740167,34.38,21800,0.010172715470895679,0.015819282451963994,8.255506231387244e-05,0.0023844618778753,0.015714777956626045,3.908407373382275e-05,0.031914233663782966,2.440837710967046e-06,0.050151196737949696,1.2728124993964192e-13,0.5143119266055046,14155,0.5227128223242671,0.21033051538199427,-0.0004704898295336525,0.010029459491032943,0.015725677554638287,1.0059523602083587,-0.011940151008767552,0.0028801513835787773,0.35757575757575755
