blend,fold,n,pearson,spearman,decile_spread,top_decile_net,r2_vs_zero
ols_nn:gbm_last,2,21800,0.05532642104388132,0.07606861845558739,0.002406780925777489,-0.0009532935934761538,-0.00714820230221358
zsum:momentum_ols,2,21800,0.03742943542667342,0.07047257884460026,0.001096314552385326,-0.0015329282982400917,
ols:momentum_ols,2,21800,0.03881159185131463,0.0710587382569642,0.001373873022999059,-0.0013415916135835295,-0.006627054646656916
ols_nn:momentum_ols,2,21800,0.03881159185131463,0.0710587382569642,0.001373873022999059,-0.0013415916135835295,-0.006627054646656916
zsum:momentum_raw,2,21800,0.021821387465681394,0.02997013445958884,0.0013298908152688004,-0.0008454849693661454,
ols:momentum_raw,2,21800,0.0388115924399704,0.07105874001522612,0.001373873022999059,-0.0013415916135835295,-0.006627054545045308
ols_nn:momentum_raw,2,21800,0.03961989713795816,0.06744374747621301,0.0028455835070500817,-0.0002746247745950231,-0.0046777101965742585
zsum:ridge_lags,2,21800,0.014394825880001644,0.061646038212917934,0.0012170202472063484,-0.0010851412128919037,
ols:ridge_lags,2,21800,0.008557606778262401,0.05856825099111351,0.0011055271442882916,-0.001247341313734389,-0.010568152145135734
ols_nn:ridge_lags,2,21800,0.008557606778262401,0.05856825099111351,0.0011055271442882916,-0.001247341313734389,-0.010568152145135734
zsum:ridge_last,2,21800,0.024413217994472408,0.05710885257798002,0.000776413892052823,-0.0017431141098484093,
ols:ridge_last,2,21800,0.024211933398289004,0.05695821534144776,0.0007222364648583573,-0.0017717263858471922,-0.006812588020158827
ols_nn:ridge_last,2,21800,0.024211933398289004,0.05695821534144776,0.0007222364648583573,-0.0017717263858471922,-0.006812588020158827
ols_all,2,21800,0.030567919217052913,0.07152195398830286,0.001360288143542183,-0.0017542998500429457,-0.015324071687448315
ols_all_nn,2,21800,0.030861250358006638,0.07133567332613742,0.0013767418558543777,-0.0015907025590083997,-0.017181820649967205
ols_all_no_patchtst,2,21800,0.024382255547261703,0.06338644225054828,0.0010305800194188007,-0.001908293551180956,-0.016448283933744978
patchtst,3,22040,0.02691957917426176,0.030428717604404416,0.001595864604108558,0.00048461359003463666,-0.0065716812770724164
gbm_lags,3,22040,0.07537641703873732,0.04115197465746234,0.0015367171796117026,0.0005682181119445397,0.0032408909750444304
gbm_last,3,22040,0.07993050670136034,0.054322139179758026,0.002031211446760715,0.00022723346422907063,0.004610869593107192
momentum_ols,3,22040,0.007773762446600241,0.03912214272034239,0.00028233593403801304,-0.0007221129521078405,-0.00046740798861000243
momentum_raw,3,22040,-0.007773762841268598,-0.03912214272034239,-0.00028233593403801304,-0.0010044488861458535,-1.0008416173715742
ridge_lags,3,22040,0.03872637647381344,0.03200209114407617,0.00219622605180751,-4.270977615724236e-05,0.0006067262877177404
ridge_last,3,22040,0.017844444791430124,0.03712039043633664,0.0019694733131202483,0.0001739380162187141,0.00013173245811537448
zsum:gbm_lags,3,22040,0.062297490430158496,0.0421404319215539,0.0016783019010783984,0.000808355799342048,
ols:gbm_lags,3,22040,0.06017570371828738,0.04149421358964112,0.001800965420197447,0.0009364146798709345,0.002269149557890038
ols_nn:gbm_lags,3,22040,0.06017570371828738,0.04149421358964112,0.001800965420197447,0.0009364146798709345,0.002269149557890038
zsum:gbm_last,3,22040,0.06659912442828761,0.0527788757967215,0.0023833309273497117,0.0006146325998313868,
ols:gbm_last,3,22040,0.07421778633780785,0.05589735564061086,0.0023784498535083173,0.0005386073468588528,0.0041431931946213085
ols_nn:gbm_last,3,22040,0.07421778633780785,0.05589735564061086,0.0023784498535083173,0.0005386073468588528,0.0041431931946213085
zsum:momentum_ols,3,22040,0.02168730436107988,0.03939726659133747,0.0019498337112174783,0.00010762377909721973,
ols:momentum_ols,3,22040,0.026169491424201587,0.036573332570946346,0.0014786412943225721,0.00021215447232574253,-0.00023999138051733482
ols_nn:momentum_ols,3,22040,0.026169491424201587,0.036573332570946346,0.0014786412943225721,0.00021215447232574253,-0.00023999138051733482
zsum:momentum_raw,3,22040,0.014973789211824644,-0.0024787836462335624,0.0010512759619018858,-0.000336012866390617,
ols:momentum_raw,3,22040,0.026169491830198593,0.036573332776621885,0.0014786412943225721,0.00021215447232574253,-0.00023999134319785398
ols_nn:momentum_raw,3,22040,0.026919579174261753,0.030428717604404416,0.001595864604108558,0.00048461359003463666,-0.00013920173945503045
zsum:ridge_lags,3,22040,0.04085508268866491,0.03467877935593388,0.0019697519596370834,0.0004207469963580378,
ols:ridge_lags,3,22040,0.02747508234487051,0.030747748905680015,0.0016208131609281935,0.0004823321570336992,-0.00011543813338077413
ols_nn:ridge_lags,3,22040,0.02747508234487051,0.030747748905680015,0.0016208131609281935,0.0004823321570336992,-0.00011543813338077413
zsum:ridge_last,3,22040,0.028237300688035562,0.03714991835473585,0.0018018493350685717,0.00021692495518665618,
ols:ridge_last,3,22040,0.027681784933980207,0.03794254577684806,0.0017543231339721076,0.00017624817779688588,-0.0001780303652887394
ols_nn:ridge_last,3,22040,0.027681784933980207,0.03794254577684806,0.0017543231339721076,0.00017624817779688588,-0.0001780303652887394
ols_all,3,22040,0.038632448396880695,0.03780052831435725,0.0017510074199088167,-0.00035462405836101274,0.00015837562371978642
ols_all_nn,3,22040,0.055014516632949144,0.053587223988462024,0.0018126980627367942,0.00048352009273621593,-0.00017075918447506666
ols_all_no_patchtst,3,22040,0.043550647285741,0.032326297550615814,0.001270261555779645,-0.00047048767076508606,0.0008645493610115462
patchtst,4,22040,0.1015738517206501,0.11878455242782839,0.007843588654777012,0.004108388285834029,0.011497371309560522
gbm_lags,4,22040,0.0558100396089209,0.06930209188836726,0.0022677730652744662,0.002680095706077458,0.0016815265871135132
gbm_last,4,22040,0.054241369157607994,0.05202511072294695,0.0012467780587347493,0.0019188911506590972,0.0004144738915754509
momentum_ols,4,22040,0.02296542819768433,0.0451538570929799,0.0015316827685437962,0.002216016442438496,0.0011173036258664837
momentum_raw,4,22040,-0.022965428234725055,-0.0451538570929799,-0.0015316827685437962,0.0006843336738946999,-1.0260488076631153
ridge_lags,4,22040,0.06260229820752469,0.05461436703985762,0.004670557625858602,0.0033943570118334506,0.0036309513075291067
ridge_last,4,22040,0.06649545352056935,0.045649450638973466,0.004033019213451661,0.0029664312760871326,0.004980061130658853
zsum:gbm_lags,4,22040,0.09301901309811852,0.10766865868960201,0.0059388937077895125,0.004038373092081821,
ols:gbm_lags,4,22040,0.039582911577401285,0.04810320639745223,0.0010421187540147125,0.001911101894605604,-8.500865633620514e-05
ols_nn:gbm_lags,4,22040,0.05581003960892092,0.06930209188836726,0.0022677730652744662,0.002680095706077458,0.0022126235746133815
zsum:gbm_last,4,22040,0.0936505883882318,0.10332365384968904,0.005439825140174121,0.003479326613333343,
ols:gbm_last,4,22040,0.047192944082771235,0.04078982995491163,0.0009939122383679296,0.0018659492201856624,0.0006679665214595065
ols_nn:gbm_last,4,22040,0.054241369157608,0.05202511072294695,0.0012467780587347493,0.0019188911506590972,0.0016804009456324875
zsum:momentum_ols,4,22040,0.07101531037613204,0.09650881847057088,0.004669224882529072,0.0037900526074095267,
ols:momentum_ols,4,22040,0.1006028705096001,0.11910644072826385,0.008265892091960842,0.004662843005317181,0.0024315387184484782
ols_nn:momentum_ols,4,22040,0.1006028705096001,0.11910644072826385,0.008265892091960842,0.004662843005317181,0.0024315387184484782
zsum:momentum_raw,4,22040,0.04583476040880709,0.04377149048310407,0.003127280043833118,0.0017515344315474234,
ols:momentum_raw,4,22040,0.10060287012428666,0.11910643229276584,0.008265892091960842,0.004662843005317181,0.0024315387168815095
